"patch_number","pixel_id","patch_size","env","x","y"
8,1014,32,10,21,14
8,1015,32,10,21,15
8,1016,32,10,21,16
8,1017,32,10,21,17
16,1018,24,10,21,18
16,1019,24,10,21,19
16,1020,24,10,21,20
NA,1021,NA,1,21,21
32,1022,30,10,21,22
32,1023,30,10,21,23
32,1024,30,10,21,24
41,1025,27,10,21,25
41,1026,27,10,21,26
41,1027,27,10,21,27
41,1028,27,10,21,28
41,1029,27,10,21,29
41,1030,27,10,21,30
3,1031,20,10,21,31
3,1032,20,10,21,32
3,1033,20,10,21,33
3,1034,20,10,21,34
3,1035,20,10,21,35
NA,1036,NA,1,21,36
NA,1037,NA,1,21,37
34,1038,37,10,21,38
15,1039,29,10,21,39
15,1040,29,10,21,40
15,1041,29,10,21,41
15,1042,29,10,21,42
15,1043,29,10,21,43
NA,1044,NA,1,21,44
NA,1045,NA,1,21,45
NA,1046,NA,1,21,46
38,1047,34,10,21,47
38,1048,34,10,21,48
38,1049,34,10,21,49
38,1050,34,10,21,50
NA,1051,NA,1,22,1
NA,1052,NA,1,22,2
NA,1053,NA,1,22,3
NA,1054,NA,1,22,4
NA,1055,NA,1,22,5
NA,1056,NA,1,22,6
NA,1057,NA,1,22,7
NA,1058,NA,1,22,8
NA,1059,NA,1,22,9
NA,1060,NA,1,22,10
NA,1061,NA,1,22,11
NA,1062,NA,1,22,12
8,1063,32,10,22,13
8,1064,32,10,22,14
8,1065,32,10,22,15
NA,1066,NA,1,22,16
NA,1067,NA,1,22,17
16,1068,24,10,22,18
16,1069,24,10,22,19
16,1070,24,10,22,20
16,1071,24,10,22,21
