"patch_number","pixel_id","patch_size","env","x","y"
33,977,45,10,20,27
33,978,45,10,20,28
NA,979,NA,1,20,29
NA,980,NA,1,20,30
NA,981,NA,1,20,31
NA,982,NA,1,20,32
NA,983,NA,1,20,33
NA,984,NA,1,20,34
NA,985,NA,1,20,35
NA,986,NA,1,20,36
34,987,31,10,20,37
34,988,31,10,20,38
34,989,31,10,20,39
34,990,31,10,20,40
NA,991,NA,1,20,41
34,992,31,10,20,42
NA,993,NA,1,20,43
NA,994,NA,1,20,44
23,995,36,10,20,45
23,996,36,10,20,46
5,997,34,10,20,47
5,998,34,10,20,48
5,999,34,10,20,49
5,1000,34,10,20,50
18,1001,33,10,21,1
18,1002,33,10,21,2
18,1003,33,10,21,3
18,1004,33,10,21,4
NA,1005,NA,1,21,5
NA,1006,NA,1,21,6
NA,1007,NA,1,21,7
NA,1008,NA,1,21,8
NA,1009,NA,1,21,9
NA,1010,NA,1,21,10
NA,1011,NA,1,21,11
NA,1012,NA,1,21,12
NA,1013,NA,1,21,13
NA,1014,NA,1,21,14
NA,1015,NA,1,21,15
NA,1016,NA,1,21,16
28,1017,21,10,21,17
28,1018,21,10,21,18
28,1019,21,10,21,19
28,1020,21,10,21,20
NA,1021,NA,1,21,21
33,1022,45,10,21,22
33,1023,45,10,21,23
33,1024,45,10,21,24
33,1025,45,10,21,25
33,1026,45,10,21,26
33,1027,45,10,21,27
33,1028,45,10,21,28
33,1029,45,10,21,29
NA,1030,NA,1,21,30
NA,1031,NA,1,21,31
NA,1032,NA,1,21,32
NA,1033,NA,1,21,33
NA,1034,NA,1,21,34
NA,1035,NA,1,21,35
34,1036,31,10,21,36
34,1037,31,10,21,37
34,1038,31,10,21,38
34,1039,31,10,21,39
34,1040,31,10,21,40
34,1041,31,10,21,41
34,1042,31,10,21,42
34,1043,31,10,21,43
NA,1044,NA,1,21,44
NA,1045,NA,1,21,45
5,1046,34,10,21,46
5,1047,34,10,21,47
5,1048,34,10,21,48
5,1049,34,10,21,49
5,1050,34,10,21,50
18,1051,33,10,22,1
18,1052,33,10,22,2
18,1053,33,10,22,3
NA,1054,NA,1,22,4
NA,1055,NA,1,22,5
NA,1056,NA,1,22,6
NA,1057,NA,1,22,7
NA,1058,NA,1,22,8
NA,1059,NA,1,22,9
